review,rating,date,bank,source,LemmatizedText
It was nice but now it dose not opened the transactions,5,2025-03-18,CBE,Google Play,nice dose open transaction
The apps is good to use,5,2025-03-17,CBE,Google Play,app good use
the app has a bug and it keeps crashing 😑 please provide an update and fix the issue thank you....,3,2025-03-17,CBE,Google Play,app bug keeps crash provide update fix issue thank
This is my favorite App,5,2025-03-17,CBE,Google Play,favorite app
1.we can't get mobile Token on CBE App or any other online. This is need to improve 2.internet banking is always say authenticate error after some weeks this is need to improve.,4,2025-03-16,CBE,Google Play,not mobile token cbe app online need improve internet banking authenticate error week need improve
excellent app for account transaction specially for bussiness customers and a good method to pay bills and different personal payment.,5,2025-03-15,CBE,Google Play,excellent app account transaction specially bussiness customer good method pay bill different personal payment
"The app has brought a new problem. When i open the app, it closes itself then i have to open it again. Please fix this issue if it's your problem",3,2025-03-14,CBE,Google Play,app bring new problem open app close open fix issue problem
"In my view, I can't give any conclusion because it's the starting of an online banking in my country. However, the commercial bank of ethiopia must rebuild this app and also need to make more access to changing the system. Keep continuing ethiopia 🇪🇹 🇪🇹🇪🇹🇪🇹",5,2025-03-14,CBE,Google Play,view not conclusion start online banking country commercial bank ethiopia rebuild app need access change system continue ethiopia
Very attractive and user-friendly,5,2025-03-13,CBE,Google Play,attractive userfriendly
Good apps,5,2025-03-13,CBE,Google Play,good app
The app need update it always crash,1,2025-03-13,CBE,Google Play,app need update crash
It is very comfortable and simple to use!!! But whay standing order is not work?,5,2025-03-13,CBE,Google Play,comfortable simple use whay standing order work
"One of the best apps I have used ,",5,2025-03-13,CBE,Google Play,good app
I am appreciate this app,5,2025-03-13,CBE,Google Play,appreciate app
I'm very happy using this app. Thanks to developers.,5,2025-03-12,CBE,Google Play,m happy app thank developer
CBE birr app is my best choice.,5,2025-03-12,CBE,Google Play,cbe birr app good choice
Exceptional/incredible,5,2025-03-12,CBE,Google Play,exceptionalincredible
Joyful app,5,2025-03-11,CBE,Google Play,joyful app
Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,1,2025-03-10,CBE,Google Play,unstatisfied new update keeps crash not reach max txn day refuse transferprobably go change bank fix asap
It is one of the disappointed Bank you don't suppose to include Ethiopian on your name you don't deserve it.,1,2025-03-10,CBE,Google Play,disappointed bank not suppose include ethiopian not deserve
Simple and easy to use,5,2025-03-10,CBE,Google Play,simple easy use
it's not good app,5,2025-03-10,CBE,Google Play,good app
"I have been using CBE App for long, but recently it has started crashing repeatedly and even my phone is reporting that the app has bugs and tells me to wait the developer to fix these bugs.",1,2025-03-09,CBE,Google Play,cbe app long recently start crash repeatedly phone reporting app bug tell wait developer fix bug
The great app CBE,5,2025-03-09,CBE,Google Play,great app cbe
Why it asks me Update repeatedly as soon as I download it !!,1,2025-03-09,CBE,Google Play,asks update repeatedly soon download
Commercial Bnk Rate this,5,2025-03-08,CBE,Google Play,commercial bnk rate
It is good for many aspect. If I can get transactions report with time duration(periodically),3,2025-03-07,CBE,Google Play,good aspect transaction report time durationperiodically
Best performing app,5,2025-03-07,CBE,Google Play,well perform app
Best banck in Ethiopia,5,2025-03-06,CBE,Google Play,good banck ethiopia
Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,1,2025-03-06,CBE,Google Play,step verification update fake meaningless app give option use pin request step verification step update app differ previous case security safegaurde user feature app well easy use
Its good,5,2025-03-05,CBE,Google Play,good
Why don't install,5,2025-03-05,CBE,Google Play,not install
I'm glad to use it.,5,2025-03-05,CBE,Google Play,m glad use
Very good thank you,5,2025-03-04,CBE,Google Play,good thank
I have been a customer of the Commercial Bank of Ethiopia for many years,5,2025-03-03,CBE,Google Play,customer commercial bank ethiopia year
"We need this app to work properly, and it looks like an outdated",2,2025-03-03,CBE,Google Play,need app work properly look like outdate
The app crashes too many times. It's a buggy app,1,2025-03-03,CBE,Google Play,app crash time buggy app
Thankz,5,2025-03-02,CBE,Google Play,thankz
Verry good it is easy to use anything,5,2025-03-01,CBE,Google Play,verry good easy use
Its gopd,5,2025-03-01,CBE,Google Play,gopd
So slow with Internet,1,2025-03-01,CBE,Google Play,slow internet
I phone app is not working,2,2025-03-01,CBE,Google Play,phone app working
Sometimes it dosent work,4,2025-03-01,CBE,Google Play,dosent work
It's very useful Apps,5,2025-03-01,CBE,Google Play,useful app
It is better app,5,2025-03-01,CBE,Google Play,well app
Good work very important,5,2025-03-01,CBE,Google Play,good work important
It is exlent app it is helful,5,2025-02-28,CBE,Google Play,exlent app helful
It don't work,1,2025-02-28,CBE,Google Play,not work
Bad security 🔓,2,2025-02-28,CBE,Google Play,bad security
"It's a shame,it can't performe well,you guys can't even fix a bug, It's getting unusable, shame shame shame 😡",1,2025-02-28,CBE,Google Play,shameit not performe wellyou guy not fix bug get unusable shame shame shame
Easy to Use and Effecent System.,5,2025-02-28,CBE,Google Play,easy use effecent system
It is good but i can not install the app why? And the other one is it is better to show the earliest transactions for instanse before 30 days ago,3,2025-02-27,CBE,Google Play,good install app well early transaction instanse day ago
"I have been using the App since it is first released and it has been nice, but the latest Update are very worse the app crashes frequently and drains battery highly.",3,2025-02-27,CBE,Google Play,app release nice late update bad app crash frequently drain battery highly
Commercial bank and it's mobile banking is very good,5,2025-02-27,CBE,Google Play,commercial bank mobile banking good
Friendly mobile banking application,5,2025-02-27,CBE,Google Play,friendly mobile banking application
Vary good,5,2025-02-27,CBE,Google Play,vary good
1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,1,2025-02-26,CBE,Google Play,star visit bank new installation app reactivation take minute long queue system failure learn telebire app option customer apt ridiculous security feature second customization setting display account want display section slide main account time make pay monthly subscription bare minimum
Recently it is not working please check it,2,2025-02-26,CBE,Google Play,recently work check
This app😎,5,2025-02-26,CBE,Google Play,app
It is a user friendly excellent app.,5,2025-02-26,CBE,Google Play,user friendly excellent app
Simple and efficient,5,2025-02-26,CBE,Google Play,simple efficient
It is Better to use and Save time. I truly appreciate the Bank System.,5,2025-02-25,CBE,Google Play,well use save time truly appreciate bank system
Good Work,5,2025-02-25,CBE,Google Play,good work
Simple and secure app,5,2025-02-25,CBE,Google Play,simple secure app
Crashing frequently every time I try to log in.. it's so annoying,1,2025-02-25,CBE,Google Play,crash frequently time try log annoying
FIX THE BUG! so frustrating,3,2025-02-25,CBE,Google Play,fix bug frustrating
